Full name (Model),Location,Bar code/RFID (Asset),Serial # (Asset),Quantity,System Host name,Record origination
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT BL480C SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008800,USE80997RY,1,STLLIN10,Clarity
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT BL480C SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008850,USE80997S0,1,STLLIN11,Physical inventory
/HARDWARE COMPUTERS/SERVERS/HPE PROLIANT BL480C SERVER BLADE/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008875,USE80997S1,1,NADRMA1,Manual
/HARDWARE COMPUTERS/SERVERS/SUN MICROSYSTEMS SPARC T5240 SERVER/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008938,FML091807B,1,NADRSUN1,Manual
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3560 48 PORT SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008922,FOC0839U024,1,,Manual
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/BLADE ENCLOSURES/HPE PROLIANT BL C7000 C-CLASS ENCLOSURE/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008909,USE8028B7J,1,NADRENC1,Purchase order
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6065524,0N09411A0196,1,,Physical inventory
/HARDWARE STORAGE/TAPE SYSTEMS/HEWLETT-PACKARD COMPANY STORAGEWORKS MSL4048_1/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT07/,6008772,MXA124Z3HW,1,,Physical inventory
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/CISCO SYSTEMS CATALYST 3560 48 PORT SWITCH/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,6008740,FOC1011Y2T4,1,,Clarity
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/HPE MDS 9124E FOR HP C-CLASS/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,6008855,JAF1313XYW8,1,,Clarity
/HARDWARE NETWORK EQUIPMENT/HUBS-SWITCHES/HPE MDS 9124E FOR HP C-CLASS/,/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,6008951,JAF1313XYUX,1,,Clarity
"/HARDWARE RACKS, CHASSIS AND ENCLOSURES/RACK ENCLOSURES/GENERIC SERVER RACK/",/PUBLIC LOCATION/AMERICAS/DATA CENTER/USA.WA.MOS/BT08/,6065525,USE0712M72,1,,Physical inventory
